,precision,recall,f1-score,support
ants,0.9135802469135802,0.9736842105263158,0.9426751592356688,76.0
bees,0.8765432098765432,0.9466666666666667,0.9102564102564102,75.0
beetle,0.7288135593220338,0.6825396825396826,0.7049180327868853,63.0
catterpillar,0.8163265306122449,0.6060606060606061,0.6956521739130435,66.0
earthworms,0.8367346938775511,0.8367346938775511,0.8367346938775511,49.0
earwig,0.6805555555555556,0.6901408450704225,0.6853146853146853,71.0
grasshopper,0.8266666666666667,0.8378378378378378,0.8322147651006712,74.0
moth,0.9733333333333334,0.9605263157894737,0.9668874172185431,76.0
slug,0.803030303030303,0.8833333333333333,0.8412698412698413,60.0
snail,0.961038961038961,0.9866666666666667,0.9736842105263158,75.0
wasp,0.9459459459459459,0.9210526315789473,0.9333333333333333,76.0
weevil,0.8961038961038961,0.9324324324324325,0.9139072847682119,74.0
accuracy,0.8610778443113772,0.8610778443113772,0.8610778443113772,0.8610778443113772
macro avg,0.8548894085230513,0.8548063268649946,0.8530706673000967,835.0
weighted avg,0.8597545824410786,0.8610778443113772,0.8587126707427819,835.0
